订单顺序编号,订单号,用户名,商品编号,订单金额,付款金额,渠道编号,平台类型,下单时间,付款时间,是否退款,优惠金额,支付耗时_秒,下单日期,下单小时,星期几
8,sys-2025-306447069,user-104863,PR000499,499.41,480.42,渠道1,微信公众号,2025-01-01 01:05:50,2025-01-01 01:06:17,否,18.99000000000001,27.0,2025-01-01,1,Wednesday
11,sys-2025-417411381,user-181957,PR000483,279.53,279.53,渠道1,APP,2025-01-01 01:36:17,2025-01-01 01:36:56,否,0.0,39.0,2025-01-01,1,Wednesday
61,sys-2025-313655292,user-282453,PR000154,1658.95,1653.91,渠道1,微信公众号,2025-01-01 12:01:04,2025-01-01 12:03:20,否,5.039999999999964,136.0,2025-01-01,12,Wednesday
78,sys-2025-311884106,user-167776,PR000215,343.25,337.12,渠道1,APP,2025-01-01 12:47:02,2025-01-01 12:47:21,否,6.1299999999999955,19.0,2025-01-01,12,Wednesday
81,sys-2025-375273222,user-138024,PR000515,329.04,329.04,渠道1,APP,2025-01-01 12:50:23,2025-01-01 12:50:50,否,0.0,27.0,2025-01-01,12,Wednesday
116,sys-2025-327004821,user-182341,PR000028,446.61,384.06,渠道1,微信公众号,2025-01-01 13:46:42,2025-01-01 13:47:01,否,62.55000000000001,19.0,2025-01-01,13,Wednesday
125,sys-2025-231859284,user-230748,PR000184,746.27,627.12,渠道1,微信公众号,2025-01-01 13:57:55,2025-01-01 13:58:16,否,119.14999999999998,21.0,2025-01-01,13,Wednesday
161,sys-2025-319358365,user-162284,PR000828,574.45,498.08,渠道1,微信公众号,2025-01-01 15:29:20,2025-01-01 15:31:18,否,76.37000000000006,118.0,2025-01-01,15,Wednesday
175,sys-2025-386137983,user-123538,PR000469,324.96,249.44,渠道1,APP,2025-01-01 16:12:34,2025-01-01 16:12:53,否,75.51999999999998,19.0,2025-01-01,16,Wednesday
181,sys-2025-318802951,user-193849,PR000918,308.03,308.03,渠道1,web网站,2025-01-01 17:01:39,2025-01-01 17:03:01,否,0.0,82.0,2025-01-01,17,Wednesday
235,sys-2025-251011760,user-149697,PR000325,1985.59,1949.73,渠道1,APP,2025-01-01 20:37:28,2025-01-01 20:38:02,否,35.8599999999999,34.0,2025-01-01,20,Wednesday
237,sys-2025-329830260,user-105089,PR000449,365.88,346.96,渠道1,APP,2025-01-01 20:41:44,2025-01-01 20:42:48,否,18.920000000000016,64.0,2025-01-01,20,Wednesday
275,sys-2025-231345129,user-129172,PR000715,153.3,153.3,渠道1,APP,2025-01-01 23:14:18,2025-01-01 23:14:32,否,0.0,14.0,2025-01-01,23,Wednesday
279,sys-2025-232858822,user-116706,PR000276,475.85,468.05,渠道1,APP,2025-01-01 23:38:03,2025-01-01 23:38:38,否,7.800000000000011,35.0,2025-01-01,23,Wednesday
293,sys-2025-344859504,user-160620,PR000779,235.43,146.35,渠道1,微信公众号,2025-01-02 09:26:40,2025-01-02 09:27:14,否,89.08000000000001,34.0,2025-01-02,9,Thursday
299,sys-2025-333192553,user-192665,PR000829,729.27,679.83,渠道1,web网站,2025-01-02 09:53:36,2025-01-02 09:53:48,否,49.43999999999994,12.0,2025-01-02,9,Thursday
307,sys-2025-356024046,user-139555,PR000224,538.7,538.7,渠道1,微信公众号,2025-01-02 10:36:37,2025-01-02 10:37:03,否,0.0,26.0,2025-01-02,10,Thursday
315,sys-2025-344491438,user-183912,PR000508,579.54,529.69,渠道1,淘宝,2025-01-02 11:14:01,2025-01-02 11:14:40,是,49.84999999999991,39.0,2025-01-02,11,Thursday
322,sys-2025-272504632,user-179564,PR000404,470.19,437.68,渠道1,APP,2025-01-02 11:29:17,2025-01-02 11:30:02,否,32.50999999999999,45.0,2025-01-02,11,Thursday
324,sys-2025-245565315,user-171281,PR000580,510.55,496.81,渠道1,APP,2025-01-02 11:30:37,2025-01-02 11:30:51,否,13.740000000000009,14.0,2025-01-02,11,Thursday
329,sys-2025-296061125,user-152059,PR000787,578.74,509.9,渠道1,微信小商店,2025-01-02 11:43:05,2025-01-02 11:44:24,否,68.84000000000003,79.0,2025-01-02,11,Thursday
331,sys-2025-320416521,user-146603,PR000480,503.03,450.99,渠道1,APP,2025-01-02 11:46:14,2025-01-02 11:46:55,否,52.039999999999964,41.0,2025-01-02,11,Thursday
357,sys-2025-389907754,user-154669,PR000727,1663.39,1654.74,渠道1,APP,2025-01-02 12:19:51,2025-01-02 12:20:05,否,8.650000000000091,14.0,2025-01-02,12,Thursday
364,sys-2025-340462281,user-217155,PR000604,321.06,48.61,渠道1,APP,2025-01-02 12:22:45,2025-01-02 12:22:57,否,272.45,12.0,2025-01-02,12,Thursday
371,sys-2025-284782008,user-299786,PR000506,665.7,568.97,渠道1,APP,2025-01-02 12:31:15,2025-01-02 12:31:34,否,96.73000000000002,19.0,2025-01-02,12,Thursday
384,sys-2025-414152960,user-155956,PR000946,625.04,625.04,渠道1,微信公众号,2025-01-02 12:54:03,2025-01-02 12:54:23,否,0.0,20.0,2025-01-02,12,Thursday
385,sys-2025-268119050,user-128420,PR000044,388.3,388.3,渠道1,微信公众号,2025-01-02 12:58:17,2025-01-02 12:58:43,否,0.0,26.0,2025-01-02,12,Thursday
389,sys-2025-329877417,user-145907,PR000818,668.29,616.15,渠道1,微信公众号,2025-01-02 13:03:16,2025-01-02 13:03:39,否,52.139999999999986,23.0,2025-01-02,13,Thursday
393,sys-2025-357318604,user-138505,PR000074,316.06,230.16,渠道1,微信公众号,2025-01-02 13:08:26,2025-01-02 13:08:43,否,85.9,17.0,2025-01-02,13,Thursday
399,sys-2025-350913624,user-166846,PR000339,196.24,143.84,渠道1,微信公众号,2025-01-02 13:13:34,2025-01-02 13:13:51,是,52.400000000000006,17.0,2025-01-02,13,Thursday
411,sys-2025-342922389,user-126131,PR000321,637.76,557.88,渠道1,APP,2025-01-02 13:25:23,2025-01-02 13:26:41,否,79.88,78.0,2025-01-02,13,Thursday
420,sys-2025-320262292,user-120954,PR000865,506.53,414.77,渠道1,APP,2025-01-02 13:40:21,2025-01-02 13:43:43,否,91.75999999999999,202.0,2025-01-02,13,Thursday
440,sys-2025-434853309,user-152338,PR000911,558.53,558.53,渠道1,APP,2025-01-02 14:03:21,2025-01-02 14:04:07,否,0.0,46.0,2025-01-02,14,Thursday
500,sys-2025-301923429,user-228251,PR000171,807.31,751.75,渠道1,微信公众号,2025-01-02 15:25:17,2025-01-02 15:25:32,否,55.559999999999945,15.0,2025-01-02,15,Thursday
503,sys-2025-365057172,user-118394,PR000895,585.81,585.81,渠道1,微信公众号,2025-01-02 15:34:48,2025-01-02 15:35:06,否,0.0,18.0,2025-01-02,15,Thursday
506,sys-2025-273588747,user-223481,PR000812,1419.3,1328.31,渠道1,web网站,2025-01-02 15:38:40,2025-01-02 15:38:58,是,90.99000000000001,18.0,2025-01-02,15,Thursday
530,sys-2025-327638350,user-152786,PR000452,1322.02,1322.02,渠道1,APP,2025-01-02 18:23:02,2025-01-02 18:23:30,否,0.0,28.0,2025-01-02,18,Thursday
533,sys-2025-368225864,user-123404,PR000728,3442.15,3396.93,渠道1,微信公众号,2025-01-02 18:40:16,2025-01-02 18:40:31,否,45.220000000000255,15.0,2025-01-02,18,Thursday
534,sys-2025-362817880,user-252970,PR000326,196.64,186.11,渠道1,APP,2025-01-02 18:44:07,2025-01-02 18:44:26,否,10.529999999999973,19.0,2025-01-02,18,Thursday
544,sys-2025-379047636,user-158258,PR000369,720.7,720.7,渠道1,微信公众号,2025-01-02 19:24:53,2025-01-02 19:25:07,否,0.0,14.0,2025-01-02,19,Thursday
576,sys-2025-416833308,user-187010,PR000343,993.62,951.2,渠道1,APP,2025-01-02 20:23:44,2025-01-02 20:24:03,否,42.41999999999996,19.0,2025-01-02,20,Thursday
616,sys-2025-402422239,user-249498,PR000112,1850.88,1826.23,渠道1,web网站,2025-01-02 22:09:50,2025-01-02 22:10:05,否,24.65000000000009,15.0,2025-01-02,22,Thursday
619,sys-2025-330983642,user-136636,PR000749,344.13,344.13,渠道1,微信公众号,2025-01-02 22:24:55,2025-01-02 22:25:51,否,0.0,56.0,2025-01-02,22,Thursday
622,sys-2025-375767861,user-169823,PR000150,794.24,717.44,渠道1,web网站,2025-01-02 22:35:08,2025-01-02 22:37:15,否,76.79999999999995,127.0,2025-01-02,22,Thursday
