用户名,付款金额
user-213338,83270.05382871049
user-121492,73167.66706487825
user-107811,72149.09166588946
user-274887,71622.0799965883
user-125906,69126.66392974203
user-104351,68038.70263800245
user-242769,67702.16304306716
user-290313,66253.38725183584
user-134903,66004.30473404142
user-173427,62879.74403533798
user-143771,62413.72847168566
user-181994,60495.93350509488
user-295455,60142.64385063641
user-157216,60081.05705965204
user-115829,59405.16146148487
user-107004,59350.698596736474
user-175939,58293.34553330188
user-257255,57949.10356893084
user-189081,56215.19392099091
user-151590,54303.93364793281
user-150867,54177.73122563012
user-292483,53268.49517586644
user-239826,52740.70001308549
user-150266,52535.1236944808
user-298823,51544.34729507875
user-178850,51299.53327628207
user-200202,51074.79410224801
user-136840,50533.300531218556
user-238967,49967.12409306953
user-170045,49533.81364955612
user-105478,49528.8754428301
user-190537,48008.7378099812
user-196066,47177.35981361464
user-173051,46716.3683944583
user-180185,45468.65582834804
user-293583,45314.64113629474
user-175935,44594.43801242686
user-139794,44220.96069101224
user-123784,43972.992462012415
user-121057,43636.27458730619
user-143578,43200.50527916931
user-123701,43164.244155726585
user-191903,42712.13713968894
user-169671,42366.10319835465
user-227054,42294.22715975958
user-110576,41687.25361879815
user-167209,41578.94353524635
user-179934,41471.48990688366
user-123127,40825.46641390932
user-161225,40762.22410417723
user-123513,40702.63357287509
user-145599,40233.75882722419
user-228787,40100.047172131
user-184320,40006.59622369258
user-272986,39897.6013749363
user-187370,39812.7101837296
user-108155,39697.31023296972
user-141850,39487.75055103976
user-184855,39357.28488899283
user-139683,39265.58661337174
user-106099,39120.16441998672
user-293988,38201.783330710176
user-109031,37710.7352432174
user-191937,37601.73526734532
user-101216,37564.16549307099
user-145882,37440.52373780254
user-151612,37422.27421080145
user-238391,37299.98877068394
user-227800,37233.5145441985
user-142818,36968.56201916679
user-178485,36959.72153923096
user-185672,36954.90658277319
user-113471,36819.82322517235
user-263027,36628.24761660933
user-113222,36319.74203414295
user-171113,36183.07715752521
user-168081,35868.787007461375
user-195868,35835.87837502306
user-199020,35616.646063430744
user-184700,35602.387827159386
user-197836,35580.57184704576
user-130063,35337.59428583236
user-134690,35158.005033658716
user-132032,35156.23693582636
user-266228,34762.95089345946
user-116081,34756.35982612747
user-124492,34731.90766018879
user-210637,34661.52061591026
user-216772,34410.27613873841
user-173151,34239.10667786774
user-261625,34233.12096651624
user-279595,34220.95496146192
user-261543,34170.528432868356
user-153757,34161.42262010953
user-198109,34154.71263048424
user-127028,33869.58612649662
user-105807,33697.76886996396
user-269112,33455.04022891399
user-118265,33321.07436463905
user-171226,33190.48543253789
user-239504,33139.73297410842
user-162288,33116.33768153369
user-210478,33037.91452554299
user-197540,33023.89719618942
user-254322,32881.89008427419
user-124456,32777.11051112223
user-145743,32493.010000000002
user-128391,32270.60754681092
user-145116,32243.26719028016
user-281593,32166.38348066463
user-237467,32128.79548295347
user-150944,31949.18447236884
user-135453,31873.37434203068
user-150898,31865.62424870414
user-260362,31804.11610876306
user-287987,31755.38052229217
user-188450,31742.03432728143
user-132532,31529.28755336755
user-269270,31506.7428063269
user-159838,31207.5198650102
user-157873,31200.40612289307
user-146108,31161.45936949084
user-285697,31028.19979540524
user-177438,30929.40218174031
user-197412,30864.57657169792
user-124902,30613.03222670287
user-141328,30430.60398562475
user-248595,29906.6122979028
user-115856,29711.75466175727
user-269555,29398.28745166455
user-280879,29282.43997842952
user-141211,29006.26992100132
user-222520,28895.64
user-119903,28872.63056890231
user-144798,28841.24633847904
user-110660,28736.134526211
user-171849,28575.24139260483
user-143214,28547.80019338485
user-113515,28516.99915578426
user-203657,28508.58937357974
user-155101,28454.62169043187
user-158576,28137.69921290561
user-180450,28124.694163005344
user-213270,27962.47644671706
user-158536,27941.1128470504
user-139297,27779.26925253974
user-119781,27639.20500922186
user-190046,27548.41408258185
user-156004,27527.69313399011
user-259661,27440.83931571565
user-153181,27244.50299891399
user-121274,27214.99611385542
user-169310,27201.33034129634
user-250808,27094.76161098304
user-145693,27071.04682560315
user-153310,26999.33364776761
user-168865,26791.96243583729
user-142163,26704.02771472191
user-254726,26404.1119075095
user-121496,26345.476657179483
user-142742,26342.42277070773
user-131283,26202.11182750517
user-278082,26143.4317199758
user-165173,26100.9902574484
user-285971,26095.64986825548
user-117777,26045.95006884941
user-136132,25985.95487934092
user-224756,25858.91609029526
user-199966,25768.29077661047
user-174610,25674.63796436921
user-208030,25601.56850977154
user-116954,25390.02374555925
user-198834,25382.64632465134
user-164764,25343.96576380183
user-131245,25295.70988304511
user-101804,25287.88080592951
user-108108,24984.78050939547
user-182416,24951.60461402983
user-224154,24949.03193131684
user-230727,24945.268628322683
user-206701,24869.92627117799
user-283762,24848.58271064859
user-115322,24812.08604326969
user-280838,24810.99408966423
user-119399,24624.99667506928
user-213403,24604.09941157123
user-101326,24461.33717722735
user-146669,24368.36633513359
user-142998,24208.92551074267
user-244202,24192.2301142039
user-239377,23928.024005121428
user-162691,23925.66592271839
user-102292,23779.197097039058
user-169511,23647.11330939697
user-125625,23642.06238933391
user-188241,23636.66678948976
user-163315,23633.39887305275
user-157734,23571.92799943555
user-191515,23546.073894687157
user-246240,23363.5694868937
user-229283,23281.82042869885
user-154442,23237.05482998333
user-228499,23211.38125678261
user-185980,23197.19829459433
user-104169,23191.81397575227
user-112866,23179.079265472476
user-153840,23169.5115828463
user-113843,23167.263623558738
user-163853,23152.95059415531
user-145966,23142.7880246384
user-101287,23110.658131074048
user-189166,23100.8146231527
user-158348,23044.79700514393
user-232680,23018.06949872298
user-140244,22975.86139857905
user-223627,22857.25544946026
user-299481,22799.86315228583
user-163943,22791.213829575452
user-189747,22756.35191230059
user-259057,22742.1202155685
user-186856,22724.48094958074
user-115869,22706.900633192097
user-154228,22683.96402095109
user-175233,22669.393985992938
user-253380,22632.63719419515
user-257968,22618.159933511022
user-106909,22617.39934478178
user-120139,22614.42199024668
user-120989,22477.427276220642
user-105039,22401.51233823205
user-163391,22358.629100141537
user-278190,22312.86033642242
user-152486,22310.04526627977
user-109193,22283.47953197694
user-159946,22258.56523144195
user-100493,22257.32467187322
user-141631,22143.50694155525
user-228486,22107.32382811582
user-193224,22096.21293153051
user-265445,22081.36078961349
user-268077,22077.30204750925
user-209463,22050.43915263618
user-119190,21927.31060019051
user-277403,21888.93786502113
user-273464,21884.32018945841
user-159242,21799.712188394882
user-191136,21781.578895172148
